web-scraper-order,web-scraper-start-url,card_link,card_link-href,name,Stats,description,card_type
1585687327-5474,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Number 93: Utopia KaiserXYZ MonsterWarrior2 or more ""Number"" Xyz Monsters, with the same Rank, that have Xyz Material
Once per turn: You can Special Summon Rank 9 or lower ""Number"" monsters with 3000 or less ATK that have different Ranks from each other from your Extra Deck, up to the number of Xyz Materials with different names attached to this card, but their effects are negated, then detach 1 Xyz Material from this card. For the rest of this turn, unless this effect was negated, you cannot Special Summon, and any battle damage your opponent takes becomes halved. While you control another ""Number"" Xyz Monster, this card cannot be destroyed by battle or card effects. 47,9055.16 14 5",https://db.ygoprodeck.com/card/?search=Number%2093%3A%20Utopia%20Kaiser,Number 93: Utopia Kaiser,ATK: 2500 DEF: 2000,"2 or more ""Number"" Xyz Monsters, with the same Rank, that have Xyz Material
Once per turn: You can Special Summon Rank 9 or lower ""Number"" monsters with 3000 or less ATK that have different Ranks from each other from your Extra Deck, up to the number of Xyz Materials with different names attached to this card, but their effects are negated, then detach 1 Xyz Material from this card. For the rest of this turn, unless this effect was negated, you cannot Special Summon, and any battle damage your opponent takes becomes halved. While you control another ""Number"" Xyz Monster, this card cannot be destroyed by battle or card effects.",XYZ Monster
1585687325-5473,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Odd-Eyes Revolution DragonPendulum Effect MonsterDragon[ Pendulum Effect ]
You cannot Pendulum Summon monsters, except Dragon monsters. This effect cannot be negated. You can target 1 Dragon Fusion, Synchro, or Xyz Monster in your GY; destroy this card, and if you do, Special Summon that monster.
----------------------------------------
[ Monster Effect ]
Cannot be Normal Summoned/Set. Must be either Pendulum Summoned from the hand, or Special Summoned (from your hand) by Tributing 3 Dragon monsters (1 Fusion, 1 Synchro, and 1 Xyz). You can discard this card and pay 500 LP; add 1 Level 8 or lower Dragon Pendulum Monster from your Deck to your hand. Gains ATK/DEF equal to half your opponent's LP. Once per turn: You can pay half your LP; shuffle all other cards on the field and in the GYs into the Deck. 134,3130.00 28 8",https://db.ygoprodeck.com/card/?search=Odd-Eyes%20Revolution%20Dragon,null,"ATK: 0 DEF: 0
Pendulum Scales: 12","[ Pendulum Effect ]

You cannot Pendulum Summon monsters, except Dragon monsters. This effect cannot be negated. You can target 1 Dragon Fusion, Synchro, or Xyz Monster in your GY; destroy this card, and if you do, Special Summon that monster.

----------------------------------------

[ Monster Effect ]

Cannot be Normal Summoned/Set. Must be either Pendulum Summoned from the hand, or Special Summoned (from your hand) by Tributing 3 Dragon monsters (1 Fusion, 1 Synchro, and 1 Xyz). You can discard this card and pay 500 LP; add 1 Level 8 or lower Dragon Pendulum Monster from your Deck to your hand. Gains ATK/DEF equal to half your opponent's LP. Once per turn: You can pay half your LP; shuffle all other cards on the field and in the GYs into the Deck.",Pendulum Effect Monster
1585687368-5493,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Barbaroid, the Ultimate Battle MachineFusion MonsterMachine5 Machine-Type ""roid"" monsters
This card can make a second attack during each Battle Phase. This card cannot attack your opponent directly. After damage calculation, if this card attacked an opponent's monster: Negate the effects of that monster (including in the Graveyard). If this card destroys an opponent's monster by battle: Inflict 1000 damage to your opponent. 26,6251.28 23 2",https://db.ygoprodeck.com/card/?search=Barbaroid%2C%20the%20Ultimate%20Battle%20Machine,null,,,
1585687323-5472,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Quintet MagicianFusion MonsterSpellcaster5 Spellcaster monsters
Must be Fusion Summoned. If this card is Fusion Summoned using 5 Spellcaster monsters with different names as materials: You can destroy all cards your opponent controls. Cannot be Tributed, nor used as Fusion Material, also it cannot be destroyed by card effects. 94,6232.66 19 6",https://db.ygoprodeck.com/card/?search=Quintet%20Magician,null,,,
1585687215-5423,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Beelzeus of the Diabolic DragonsSynchro MonsterDragon1 DARK Tuner + 2 or more non-Tuner monsters
Cannot be destroyed by battle or card effects. Other monsters you control cannot attack. Once per turn: You can target 1 monster your opponent controls; any battle damage your opponent takes from attacks involving this card this turn is halved, also, change that monster's ATK to 0, and if you do, gain LP equal to its original ATK. 45,8010.19 9 7",https://db.ygoprodeck.com/card/?search=Beelzeus%20of%20the%20Diabolic%20Dragons,Beelzeus of the Diabolic Dragons,ATK: 4000 DEF: 4000,"1 DARK Tuner + 2 or more non-Tuner monsters
Cannot be destroyed by battle or card effects. Other monsters you control cannot attack. Once per turn: You can target 1 monster your opponent controls; any battle damage your opponent takes from attacks involving this card this turn is halved, also, change that monster's ATK to 0, and if you do, gain LP equal to its original ATK.",Synchro Monster
1585687348-5484,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Five-Headed DragonFusion MonsterDragon5 Dragon-Type monsters
Must be Fusion Summoned, and cannot be Special Summoned by other ways. Cannot be destroyed by battle with a DARK, EARTH, WATER, FIRE, or WIND monster. 116,1780.71 39 19",https://db.ygoprodeck.com/card/?search=Five-Headed%20Dragon,Five-Headed Dragon,ATK: 5000 DEF: 5000,"5 Dragon-Type monsters
Must be Fusion Summoned, and cannot be Special Summoned by other ways. Cannot be destroyed by battle with a DARK, EARTH, WATER, FIRE, or WIND monster.",Fusion Monster
1585687259-5444,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Nekroz of SophiaRitual Effect MonsterSpellcasterYou can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned from your hand by using 3 monsters you control with different Types, and cannot be Special Summoned by other ways. During either player's Main Phase 1: You can discard this card and 1 ""Nekroz"" Spell Card; your opponent cannot Special Summon monsters from the Extra Deck during this phase. When this card is Ritual Summoned: You can banish all other cards on the field and in the Graveyards. You cannot Normal Summon/Set or Special Summon other monsters the turn you activate this effect. 8,6554.84 1 0",https://db.ygoprodeck.com/card/?search=Nekroz%20of%20Sophia,Nekroz of Sophia,ATK: 3600 DEF: 3400,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned from your hand by using 3 monsters you control with different Types, and cannot be Special Summoned by other ways. During either player's Main Phase 1: You can discard this card and 1 ""Nekroz"" Spell Card; your opponent cannot Special Summon monsters from the Extra Deck during this phase. When this card is Ritual Summoned: You can banish all other cards on the field and in the Graveyards. You cannot Normal Summon/Set or Special Summon other monsters the turn you activate this effect.",Ritual Effect Monster
1585687280-5454,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Avida, Rebuilder of WorldsEffect MonsterCyberseCannot be Normal Summoned/Set. Must be Special Summoned (from your hand) while there are 8 or more Link Monsters with different names on the field and/or in the GYs. You cannot Special Summon other monsters the turn you Special Summon this card. This card's Special Summon cannot be negated. If this card is Special Summoned: Shuffle all other monsters into the Deck, from among the cards on the field, in the GYs, and face-up banished cards. Neither player can activate cards or effects in response to this effect's activation. 12,9320.13 6 1",https://db.ygoprodeck.com/card/?search=Avida%2C%20Rebuilder%20of%20Worlds,null,,,
1585687240-5435,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"ZefraathPendulum Effect MonsterRock[ Pendulum Effect ]
During your Main Phase: You can add 1 ""Zefra"" Pendulum Monster from your Deck to your Extra Deck face-up, and if you do, change this card's Pendulum Scale to be the same as that Pendulum Monster's, until the end of this turn. You can only use this effect of ""Zefraath"" once per turn.
----------------------------------------
[ Monster Effect ]
Cannot be Normal Summoned/Set. Must be Special Summoned (from your face-up Extra Deck) by Tributing all monsters you control, including at least 3 ""Zefra"" monsters, and cannot be Special Summoned by other ways. After you Special Summon this card, you can conduct 1 Pendulum Summon of a ""Zefra"" monster(s) during your Main Phase this turn, in addition to your Pendulum Summon. (You can only gain this effect once per turn.) Once per turn: You can Tribute 1 monster; Special Summon 1 ""Zefra"" monster from your Deck. 27,0370.36 4 0",https://db.ygoprodeck.com/card/?search=Zefraath,Zefraath,"ATK: 3450 DEF: 2950
Pendulum Scales: 5","[ Pendulum Effect ]

During your Main Phase: You can add 1 ""Zefra"" Pendulum Monster from your Deck to your Extra Deck face-up, and if you do, change this card's Pendulum Scale to be the same as that Pendulum Monster's, until the end of this turn. You can only use this effect of ""Zefraath"" once per turn.

----------------------------------------

[ Monster Effect ]

Cannot be Normal Summoned/Set. Must be Special Summoned (from your face-up Extra Deck) by Tributing all monsters you control, including at least 3 ""Zefra"" monsters, and cannot be Special Summoned by other ways. After you Special Summon this card, you can conduct 1 Pendulum Summon of a ""Zefra"" monster(s) during your Main Phase this turn, in addition to your Pendulum Summon. (You can only gain this effect once per turn.) Once per turn: You can Tribute 1 monster; Special Summon 1 ""Zefra"" monster from your Deck.",Pendulum Effect Monster
1585687312-5467,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Shooting Quasar DragonSynchro MonsterDragon1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
Must be Synchro Summoned, and cannot be Special Summoned by other ways. This card's maximum number of attacks per Battle Phase equals the number of non-Tuner monsters used as its Synchro Material. Once per turn, during either player's turn, when a card or effect is activated: You can negate the activation, and if you do, destroy it. When this card leaves the field: You can Special Summon 1 ""Shooting Star Dragon"" from your Extra Deck. 119,1332.40 41 7",https://db.ygoprodeck.com/card/?search=Shooting%20Quasar%20Dragon,Shooting Quasar Dragon,ATK: 4000 DEF: 4000,"1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
Must be Synchro Summoned, and cannot be Special Summoned by other ways. This card's maximum number of attacks per Battle Phase equals the number of non-Tuner monsters used as its Synchro Material. Once per turn, during either player's turn, when a card or effect is activated: You can negate the activation, and if you do, destroy it. When this card leaves the field: You can Special Summon 1 ""Shooting Star Dragon"" from your Extra Deck.",Synchro Monster
1585687357-5488,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Divine Serpent GehEffect MonsterReptileCannot be Normal Summoned/Set. Must be Special Summoned by its own effect. If a monster(s) you control is destroyed by an opponent's attack or card effect: You can pay half your LP; Special Summon this card from your hand. Cannot be targeted by card effects. If this card attacks an opponent's monster, during the Damage Step only, negate the effects of that monster while it is face-up on the field (but its effects can still be activated), also its ATK becomes half its original ATK. Once per battle, if this card battles, during damage calculation (Quick Effect): You can make this card's ATK become equal to the highest original ATK on the field (your choice, if tied). 25,3900.09 15 5",https://db.ygoprodeck.com/card/?search=Divine%20Serpent%20Geh,Divine Serpent Geh,ATK: 0 DEF: 0,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect. If a monster(s) you control is destroyed by an opponent's attack or card effect: You can pay half your LP; Special Summon this card from your hand. Cannot be targeted by card effects. If this card attacks an opponent's monster, during the Damage Step only, negate the effects of that monster while it is face-up on the field (but its effects can still be activated), also its ATK becomes half its original ATK. Once per battle, if this card battles, during damage calculation (Quick Effect): You can make this card's ATK become equal to the highest original ATK on the field (your choice, if tied).",Effect Monster
1585687340-5480,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Herald of UltimatenessRitual Effect MonsterFairyYou can Ritual Summon this card with ""Oracle of the Herald"". Must be Ritual Summoned, and cannot be Special Summoned by other ways. During either player's turn, when your opponent would Special Summon a monster(s), OR activates a Spell Card, Trap Card, or monster effect: You can send 1 Fairy-Type monster from your hand to the Graveyard; negate the Special Summon or activation, and if you do, destroy that card. 18,3710.41 3 2",https://db.ygoprodeck.com/card/?search=Herald%20of%20Ultimateness,Herald of Ultimateness,ATK: 2000 DEF: 3000,"You can Ritual Summon this card with ""Oracle of the Herald"". Must be Ritual Summoned, and cannot be Special Summoned by other ways. During either player's turn, when your opponent would Special Summon a monster(s), OR activates a Spell Card, Trap Card, or monster effect: You can send 1 Fairy-Type monster from your hand to the Graveyard; negate the Special Summon or activation, and if you do, destroy that card.",Ritual Effect Monster
1585687276-5452,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Darklord MorningstarEffect MonsterFairyCannot be Special Summoned. If this card is Tribute Summoned: You can Special Summon ""Darklord"" monsters from your hand and/or Deck, up to the number of Effect Monsters your opponent controls. While you control another ""Darklord"" monster, your opponent cannot target this card with card effects. Once per turn: You can send cards from the top of your Deck to the Graveyard, equal to the number of ""Darklord"" monsters on the field, and if you do, gain 500 LP for each ""Darklord"" card sent to the Graveyard by this effect. 41,9932.53 11 0",https://db.ygoprodeck.com/card/?search=Darklord%20Morningstar,Darklord Morningstar,ATK: 3000 DEF: 3000,"Cannot be Special Summoned. If this card is Tribute Summoned: You can Special Summon ""Darklord"" monsters from your hand and/or Deck, up to the number of Effect Monsters your opponent controls. While you control another ""Darklord"" monster, your opponent cannot target this card with card effects. Once per turn: You can send cards from the top of your Deck to the Graveyard, equal to the number of ""Darklord"" monsters on the field, and if you do, gain 500 LP for each ""Darklord"" card sent to the Graveyard by this effect.",Effect Monster
1585687183-5408,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Cyberdarkness DragonFusion MonsterMachine5 ""Cyberdark"" Effect Monsters
Must first be Fusion Summoned. If this card is Special Summoned: You can equip 1 Dragon or Machine monster from your GY to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. When your opponent activates a card or effect (Quick Effect): You can send 1 Equip Card you control to the GY; negate the activation, and if you do, destroy that card. 33,2351.88 7 3",https://db.ygoprodeck.com/card/?search=Cyberdarkness%20Dragon,Cyberdarkness Dragon,ATK: 2000 DEF: 2000,"5 ""Cyberdark"" Effect Monsters

Must first be Fusion Summoned. If this card is Special Summoned: You can equip 1 Dragon or Machine monster from your GY to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. When your opponent activates a card or effect (Quick Effect): You can send 1 Equip Card you control to the GY; negate the activation, and if you do, destroy that card.",Fusion Monster
1585687223-5427,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Armed Dragon Catapult CannonFusion MonsterMachine""VWXYZ-Dragon Catapult Cannon"" + ""Armed Dragon LV7""
Must first be Special Summoned (from your Extra Deck) during a Duel you Special Summoned both the above cards, by banishing the above cards from your field and/or GY. (You do not use ""Polymerization"".) Your opponent cannot activate cards or effects with the same name as any banished card. Once per turn, during your opponent's turn (Quick Effect): You can banish 1 card from your Deck or Extra Deck, face-up; banish all cards your opponent controls and in their GY. 33,5991.82 10 2",https://db.ygoprodeck.com/card/?search=Armed%20Dragon%20Catapult%20Cannon,Armed Dragon Catapult Cannon,ATK: 3500 DEF: 3000,"""VWXYZ-Dragon Catapult Cannon"" + ""Armed Dragon LV7""

Must first be Special Summoned (from your Extra Deck) during a Duel you Special Summoned both the above cards, by banishing the above cards from your field and/or GY. (You do not use ""Polymerization"".) Your opponent cannot activate cards or effects with the same name as any banished card. Once per turn, during your opponent's turn (Quick Effect): You can banish 1 card from your Deck or Extra Deck, face-up; banish all cards your opponent controls and in their GY.",Fusion Monster
1585687204-5418,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Chaos Ancient Gear GiantFusion MonsterMachine4 ""Ancient Gear"" monsters
Must be Fusion Summoned and cannot be Special Summoned by other ways. Unaffected by Spell/Trap effects. Your opponent's monsters cannot activate their effects during the Battle Phase. This card can attack all monsters your opponent controls, once each. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. 106,6651.02 20 4",https://db.ygoprodeck.com/card/?search=Chaos%20Ancient%20Gear%20Giant,Chaos Ancient Gear Giant,ATK: 4500 DEF: 3000,"4 ""Ancient Gear"" monsters

Must be Fusion Summoned and cannot be Special Summoned by other ways. Unaffected by Spell/Trap effects. Your opponent's monsters cannot activate their effects during the Battle Phase. This card can attack all monsters your opponent controls, once each. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",Fusion Monster
1585687336-5478,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Malefic Truth DragonEffect MonsterDragonCannot be Normal Summoned/Set. Must be Special Summoned by its own effect, and cannot be Special Summoned by other ways. If a ""Malefic"" monster you control, except ""Malefic Truth Dragon"", is destroyed by battle or by card effect: You can pay half your Life Points; Special Summon this card from your hand or Graveyard. There can only be 1 ""Malefic"" monster on the field. If there is no face-up Field Spell Card on the field, destroy this card. If this card destroys an opponent's monster by battle: Destroy all face-up monsters your opponent controls. 28,2880.46 11 9",https://db.ygoprodeck.com/card/?search=Malefic%20Truth%20Dragon,null,,,
